batter,runs_scored,balls_faced,strike_rate
Sanvir Singh,25,21,119.04761904761905
S Badrinath,1438,1208,119.03973509933775
TK Curran,127,107,118.69158878504673
JD Unadkat,197,166,118.67469879518073
Sameer Rizvi,51,43,118.6046511627907
R Ashwin,799,674,118.5459940652819
SP Fleming,192,162,118.5185185185185
DB Ravi Teja,373,315,118.41269841269842
KA Jamieson,65,55,118.18181818181819
NL McCullum,26,22,118.18181818181819
TL Suman,676,573,117.97556719022688
NV Ojha,1543,1308,117.9663608562691
Y Venugopal Rao,980,832,117.78846153846155
AB Agarkar,177,151,117.21854304635761
RS Bopara,531,453,117.21854304635761
A Flintoff,62,53,116.98113207547169
R Sathish,269,230,116.95652173913042
DB Das,304,260,116.92307692307693
MK Tiwary,1685,1444,116.68975069252076
Vijaykumar Vyshak,14,12,116.66666666666667
Washington Sundar,377,324,116.35802469135803
AS Raut,194,167,116.1676646706587
DJM Short,115,99,116.16161616161615
OF Smith,51,44,115.90909090909092
AM Nayar,664,573,115.88132635253055
LR Shukla,405,350,115.71428571428572
R Dravid,2173,1878,115.70820021299255
JL Pattinson,15,13,115.38461538461537
SD Lad,15,13,115.38461538461537
J Suchith,70,61,114.75409836065573
DT Christian,452,394,114.72081218274113
CA Ingram,205,179,114.52513966480447
AP Majumdar,87,76,114.4736842105263
M Markande,48,42,114.28571428571428
KC Cariappa,24,21,114.28571428571428
BR Dunk,40,35,114.28571428571428
MD Mishra,235,206,114.07766990291262
J Botha,408,358,113.96648044692736
NM Coulter-Nile,82,72,113.88888888888889
RE Levi,83,73,113.69863013698631
TM Dilshan,1138,1001,113.68631368631368
MS Bisla,794,700,113.42857142857143
CM Gautam,169,149,113.42281879194631
Umran Malik,17,15,113.33333333333333
Swapnil Singh,51,45,113.33333333333333
TG Southee,120,106,113.20754716981132
R Vinay Kumar,310,274,113.13868613138686
TL Seifert,26,23,113.04347826086956
PK Garg,269,238,113.02521008403362
RE van der Merwe,159,141,112.7659574468085
JJ van der Wath,18,16,112.5
AA Kulkarni,9,8,112.5
R Dhawan,210,187,112.29946524064172
B Chipli,280,250,112.00000000000001
R Bishnoi,19,17,111.76470588235294
Y Gnaneswara Rao,19,17,111.76470588235294
AL Menaria,395,354,111.5819209039548
J Syed Mohammad,29,26,111.53846153846155
VH Zol,29,26,111.53846153846155
KAJ Roach,10,9,111.11111111111111
J Yadav,40,36,111.11111111111111
RR Raje,20,18,111.11111111111111
PP Chawla,623,561,111.05169340463459
Shoaib Malik,51,46,110.86956521739131
BB Samantray,125,113,110.61946902654867
Aman Hakim Khan,115,104,110.57692307692308
AT Carey,32,29,110.34482758620689
N Jagadeesan,162,147,110.20408163265304
S Rana,87,79,110.12658227848102
GC Smith,731,664,110.09036144578313
HH Gibbs,886,805,110.06211180124224
Y Nagar,285,259,110.03861003861005
DJ Harris,111,101,109.9009900990099
RV Patel,80,73,109.58904109589041
M Manhas,514,470,109.36170212765957
JH Kallis,2419,2213,109.30863081789425
MA Khote,24,22,109.09090909090908
AA Chavan,12,11,109.09090909090908
JEC Franklin,327,300,109.00000000000001
JM Kemp,26,24,108.33333333333333
AS Roy,26,24,108.33333333333333
P Kumar,338,312,108.33333333333333
DL Vettori,121,112,108.03571428571428
YV Takawale,191,177,107.909604519774
MDKJ Perera,14,13,107.6923076923077
F Behardien,14,13,107.6923076923077
W Jaffer,130,121,107.43801652892562
K Rabada,206,192,107.29166666666667
SP Jackson,61,57,107.01754385964912
SC Ganguly,1343,1257,106.84168655529038
RJ Peterson,32,30,106.66666666666667
S Gopal,180,169,106.50887573964498
TA Boult,83,78,106.41025641025641
FY Fazal,183,172,106.3953488372093
Iqbal Abdulla,87,82,106.09756097560977
SD Chitnis,93,88,105.68181818181819
AC Thomas,20,19,105.26315789473684
CJ Jordan,81,77,105.1948051948052
RR Powar,67,64,104.6875
M Kartik,112,107,104.67289719626167
RJ Harris,116,111,104.5045045045045
DW Steyn,167,160,104.375
MJ Clarke,98,94,104.25531914893618
Mohsin Khan,25,24,104.16666666666667
WPUJC Vaas,75,72,104.16666666666667
RD Chahar,129,124,104.03225806451613
M Kaif,259,249,104.01606425702812
AA Jhunjhunwala,217,209,103.82775119617224
VVS Laxman,276,266,103.7593984962406
S Aravind,59,57,103.50877192982458
UT Yadav,208,201,103.48258706467661
MS Wade,183,177,103.38983050847457
Lalit Yadav,294,285,103.15789473684211
PA Reddy,164,160,102.49999999999999
R Rampaul,50,49,102.04081632653062
SE Rutherford,106,104,101.92307692307692
MG Johnson,166,163,101.840490797546
NK Patel,121,119,101.68067226890756
HR Shokeen,66,65,101.53846153846153
CR Woakes,78,77,101.29870129870129
JR Philippe,78,77,101.29870129870129
AD Mascarenhas,79,78,101.28205128205127
PR Shah,91,90,101.11111111111111
RJ Quiney,103,102,100.98039215686273
Harpreet Singh,119,118,100.84745762711864
UBT Chand,300,299,100.33444816053512
SJ Srivastava,5,5,100.0
J Arunkumar,23,23,100.0
Abdul Basith,1,1,100.0
KB Arun Karthik,51,51,100.0
JE Taylor,3,3,100.0
SZ Mulani,1,1,100.0
VS Yeligati,2,2,100.0
VS Malik,7,7,100.0
CA Pujara,390,390,100.0
DG Nalkande,12,12,100.0
L Ronchi,34,34,100.0
MD Shanaka,26,26,100.0
M Theekshana,7,7,100.0
M Jansen,66,66,100.0
Liton Das,4,4,100.0
Rasikh Salam,40,40,100.0
GB Hogg,22,22,100.0
RJ Gleeson,2,2,100.0
RG More,2,2,100.0
DT Patil,13,13,100.0
DP Vijaykumar,1,1,100.0
DJ Malan,26,26,100.0
Mukesh Choudhary,6,6,100.0
Mashrafe Mortaza,2,2,100.0
DS Lehmann,18,18,100.0
DR Sams,44,44,100.0
AR Bawne,12,12,100.0
N Saini,140,140,100.0
AB Barath,42,42,100.0
NJ Rimmington,1,1,100.0
A Nortje,49,49,100.0
A Kamboj,2,2,100.0
SP Goswami,292,293,99.65870307167235
SB Styris,131,132,99.24242424242425
JDP Oram,106,107,99.06542056074767
JDS Neesham,92,93,98.9247311827957
PWH de Silva,72,73,98.63013698630137
MJ Santner,69,70,98.57142857142858
Vishnu Vinod,55,56,98.21428571428571
RV Gomez,50,51,98.0392156862745
MC Juneja,125,128,97.65625
RR Sarwan,73,75,97.33333333333334
SB Jakati,28,29,96.55172413793103
MA Starc,105,109,96.3302752293578
DS Kulkarni,104,108,96.29629629629629
M Klinger,72,75,96.0
DE Bollinger,21,22,95.45454545454545
Anirudh Singh,63,66,95.45454545454545
NJ Maddinson,20,21,95.23809523809523
MM Patel,39,41,95.1219512195122
B Sumanth,35,37,94.5945945945946
K Goel,218,231,94.37229437229438
B Kumar,306,325,94.15384615384616
DJ Jacobs,92,98,93.87755102040816
GR Napier,15,16,93.75
Mohammed Shami,74,79,93.67088607594937
MN Samuels,161,172,93.6046511627907
MM Sharma,124,133,93.23308270676691
Mohammed Siraj,109,117,93.16239316239316
R McLaren,159,171,92.98245614035088
SK Warne,197,213,92.48826291079813
KW Richardson,36,39,92.3076923076923
P Dogra,127,138,92.02898550724638
AD Nath,90,98,91.83673469387756
HE van der Dussen,22,24,91.66666666666666
Basil Thampi,32,35,91.42857142857143
A Mishra,380,417,91.12709832134293
Shivam Mavi,51,56,91.07142857142857
AA Noffke,9,10,90.0
T Banton,18,20,90.0
Navdeep Saini,33,37,89.1891891891892
Imran Tahir,33,37,89.1891891891892
T Kohler-Cadmore,48,54,88.88888888888889
SL Malinga,88,99,88.88888888888889
CK Langeveldt,8,9,88.88888888888889
SW Tait,23,26,88.46153846153845
JJ Bumrah,68,77,88.31168831168831
GH Vihari,281,319,88.08777429467085
R Sharma,66,75,88.0
Simarjeet Singh,7,8,87.5
AN Ghosh,7,8,87.5
AG Paunikar,48,55,87.27272727272727
A Mukund,19,22,86.36363636363636
S Sriram,31,36,86.11111111111111
BA Bhatt,6,7,85.71428571428571
AJ Turner,24,28,85.71428571428571
SH Johnson,6,7,85.71428571428571
SS Shaikh,6,7,85.71428571428571
DJ Willey,53,62,85.48387096774194
BMAJ Mendis,23,27,85.18518518518519
Parvez Rasool,17,20,85.0
Kuldeep Yadav,183,216,84.72222222222221
SB Bangar,49,58,84.48275862068965
AS Joseph,27,32,84.375
CJ Ferguson,98,117,83.76068376068376
J Theron,10,12,83.33333333333334
Z Khan,116,140,82.85714285714286
I Sharma,57,69,82.6086956521739
R Shukla,19,23,82.6086956521739
AA Bilakhia,69,84,82.14285714285714
Kartik Tyagi,13,16,81.25
WD Parnell,65,80,81.25
S Chanderpaul,25,31,80.64516129032258
Akash Madhwal,4,5,80.0
A Dananjaya,4,5,80.0
FH Edwards,4,5,80.0
GD McGrath,4,5,80.0
Mujeeb Ur Rahman,12,15,80.0
M Rawat,55,69,79.71014492753623
AF Milne,23,29,79.3103448275862
DR Martyn,19,24,79.16666666666666
P Ray Barman,19,24,79.16666666666666
RA Bawa,11,14,78.57142857142857
IR Jaggi,76,97,78.35051546391753
C Madan,14,18,77.77777777777779
Ankit Soni,7,9,77.77777777777779
Tanush Kotian,24,31,77.41935483870968
Mohammad Hafeez,64,83,77.10843373493977
D du Preez,10,13,76.92307692307693
Sandeep Sharma,53,69,76.81159420289855
Anureet Singh,36,47,76.59574468085107
DR Shorey,13,17,76.47058823529412
NT Ellis,19,25,76.0
K Kartikeya,9,12,75.0
Sumit Kumar,18,24,75.0
Naveen-ul-Haq,18,24,75.0
S Tyagi,3,4,75.0
KMA Paul,18,24,75.0
WA Mota,56,75,74.66666666666667
A Chopra,53,71,74.64788732394366
A Kumble,35,47,74.46808510638297
DJ Thornely,39,53,73.58490566037736
L Balaji,36,49,73.46938775510205
T Henderson,11,15,73.33333333333333
TM Srivastava,8,11,72.72727272727273
Jaskaran Singh,8,11,72.72727272727273
CK Kapugedera,16,22,72.72727272727273
D Ferreira,8,11,72.72727272727273
Arshdeep Singh,29,40,72.5
SK Trivedi,42,58,72.41379310344827
Yashpal Singh,47,65,72.3076923076923
Noor Ahmad,13,18,72.22222222222221
FA Allen,13,18,72.22222222222221
AG Murtaza,10,14,71.42857142857143
RT Ponting,91,128,71.09375
Karanveer Singh,12,17,70.58823529411765
M Ashwin,35,50,70.0
B Indrajith,21,30,70.0
P Dubey,23,33,69.6969696969697
YV Dhull,16,23,69.56521739130434
BB Sran,9,13,69.23076923076923
VR Aaron,49,71,69.01408450704226
M Muralitharan,20,29,68.96551724137932
RP Singh,52,76,68.42105263157895
JR Hazlewood,19,28,67.85714285714286
SB Wagh,2,3,66.66666666666666
Shivam Singh,2,3,66.66666666666666
JP Behrendorff,6,9,66.66666666666666
Harshit Rana,2,3,66.66666666666666
JE Root,10,15,66.66666666666666
C Sakariya,20,30,66.66666666666666
T Thushara,12,18,66.66666666666666
KL Nagarkoti,22,33,66.66666666666666
JA Richardson,17,26,65.38461538461539
A Nehra,39,60,65.0
KS Sharma,16,25,64.0
Ravi Bishnoi,32,50,64.0
G Coetzee,14,22,63.63636363636363
AS Rajpoot,26,41,63.41463414634146
A Zampa,15,24,62.5
SMSM Senanayake,10,16,62.5
NS Naik,31,50,62.0
S Sreesanth,34,55,61.81818181818181
SM Harwood,8,13,61.53846153846154
M Ntini,11,18,61.111111111111114
T Natarajan,3,5,60.0
Kamran Khan,3,5,60.0
R Ninan,3,5,60.0
PJ Sangwan,26,44,59.09090909090909
X Thalaivan Sargunam,10,17,58.82352941176471
Pankaj Singh,7,12,58.333333333333336
T Kohli,11,19,57.89473684210527
Virat Singh,15,26,57.692307692307686
TS Mills,8,14,57.14285714285714
A Uniyal,4,7,57.14285714285714
A Chandila,4,7,57.14285714285714
Mustafizur Rahman,13,23,56.52173913043478
S Badree,13,23,56.52173913043478
VG Arora,9,16,56.25
Mukesh Kumar,10,18,55.55555555555556
S Kaul,20,36,55.55555555555556
VY Mahesh,15,27,55.55555555555556
CV Varun,25,46,54.347826086956516
AB Dinda,26,48,54.166666666666664
CJ McKay,8,15,53.333333333333336
Mohammad Asif,3,6,50.0
Mohit Rathee,1,2,50.0
PM Sarvesh Kumar,1,2,50.0
PSP Handscomb,6,12,50.0
GHS Garton,2,4,50.0
MJ Suthar,1,2,50.0
T Shamsi,2,4,50.0
BAW Mendis,3,6,50.0
S Randiv,2,4,50.0
SE Bond,1,2,50.0
LB Williams,1,2,50.0
M de Lange,1,2,50.0
RJW Topley,3,6,50.0
A Tomar,4,8,50.0
P Parameswaran,1,2,50.0
KA Maharaj,1,2,50.0
KP Appanna,2,4,50.0
UA Birla,7,14,50.0
PV Tambe,18,38,47.368421052631575
S Nadeem,39,87,44.827586206896555
YS Chahal,37,86,43.02325581395349
Younis Khan,3,7,42.857142857142854
Kumar Kushagra,3,7,42.857142857142854
SB Joshi,6,14,42.857142857142854
GC Viljoen,3,7,42.857142857142854
IS Sodhi,7,17,41.17647058823529
H Das,2,5,40.0
BR Sharath,2,5,40.0
B Laughlin,5,13,38.46153846153847
RK Bhui,10,26,38.46153846153847
TD Paine,10,26,38.46153846153847
M Prasidh Krishna,9,24,37.5
D Kalyankrishna,3,8,37.5
PP Ojha,16,44,36.36363636363637
P Awana,5,14,35.714285714285715
DJ Muthuswami,1,3,33.33333333333333
BE Hendricks,1,3,33.33333333333333
LE Plunkett,1,3,33.33333333333333
DP Nannes,4,13,30.76923076923077
Shoaib Akhtar,2,7,28.57142857142857
RS Gavaskar,2,8,25.0
Fazalhaq Farooqi,3,13,23.076923076923077
A Singh,2,9,22.22222222222222
Mohammad Ashraful,2,10,20.0
HF Gurney,1,5,20.0
Shoaib Ahmed,1,6,16.666666666666664
KK Ahmed,1,7,14.285714285714285
R Sanjay Yadav,0,2,0.0
RP Meredith,0,3,0.0
RR Bhatkal,0,2,0.0
Mayank Dagar,0,1,0.0
Y Prithvi Raj,0,1,0.0
ND Doshi,0,13,0.0
V Pratap Singh,0,1,0.0
S Kaushik,0,1,0.0
Abdur Razzak,0,2,0.0
